TYPE,Booking Number,Load ID,Reference Number,Customer,Customer Email,Container Number,Warehouse,Address,Delivery Need Date,Status,Driver Name,Truck Assigned,Chassis,Port,LFD,Dispatcher Notes,Billing Notes,Rate,Public Notes
Import,IMP-0615-001,IMP-0001,REF-00001,Houston Industrial Supply,dispatch+sample1@calitrans.test,MSCU5553001,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-15,Ready to Dispatch,Victor Reza,CT-101,CH-2001,Barbours Cut,2026-06-16,Sample Import load for 2026-06-15 - status test: Ready to Dispatch.,,675,Customer update testing only
Export,EXP-0615-002,EXP-0002,REF-00002,Andes Coffee Trading,dispatch+sample2@calitrans.test,MAEU5553002,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-15,Assigned,Miguel Torres,CT-102,CH-2002,Bayport Terminal,2026-06-17,Sample Export load for 2026-06-15 - status test: Assigned.,,700,Customer update testing only
Export Local,EXL-0615-003,EXL-0003,REF-00003,Panama Auto Parts,dispatch+sample3@calitrans.test,HLCU5553003,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-15,En Route to Pickup,Carlos Ramirez,CT-103,CH-2003,Port Houston Gate 3,2026-06-15,Sample Export Local load for 2026-06-15 - status test: En Route to Pickup.,,725,Customer update testing only
Import Local,IML-0615-004,IML-0004,REF-00004,Colombia Fresh Imports,dispatch+sample4@calitrans.test,ONEU5553004,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-15,At Pickup,Juan Martinez,CT-104,CH-2004,Jacintoport,2026-06-14,Sample Import Local load for 2026-06-15 - status test: At Pickup.,,750,Customer update testing only
Import,IMP-0615-005,IMP-0005,REF-00005,Bogota Textiles LLC,dispatch+sample5@calitrans.test,CAIU5553005,Pearland DC,"2100 Main St, Pearland, TX",2026-06-15,Loaded,Luis Garcia,CT-105,CH-2005,Ceres Terminal,,Sample Import load for 2026-06-15 - status test: Loaded.,,775,Customer update testing only
Export,EXP-0615-006,EXP-0006,REF-00006,Gulf Coast Foods,dispatch+sample6@calitrans.test,TGHU5553006,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-15,En Route To Delivery,Ana Lopez,CT-106,CH-2006,Barbours Cut,2026-06-18,Sample Export load for 2026-06-15 - status test: En Route To Delivery.,,800,Customer update testing only
Export Local,EXL-0615-007,EXL-0007,REF-00007,Lone Star Retail,dispatch+sample7@calitrans.test,MSCU5553007,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-15,Delivered,Jose Hernandez,CT-107,,Bayport Terminal,2026-06-18,Sample Export Local load for 2026-06-15 - status test: Delivered.,,825,Customer update testing only
Import Local,IML-0615-008,IML-0008,REF-00008,Texas Resin Group,dispatch+sample8@calitrans.test,MAEU5553008,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-15,Returning Empty,Maria Sanchez,CT-108,CH-2008,Port Houston Gate 3,2026-06-18,Sample Import Local load for 2026-06-15 - status test: Returning Empty.,,850,Customer update testing only
Import,IMP-0615-009,IMP-0009,REF-00009,Baytown Distribution,dispatch+sample9@calitrans.test,HLCU5553009,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-15,New,David Nguyen,CT-109,CH-2001,Jacintoport,2026-06-18,Sample Import load for 2026-06-15 - status test: New.,,650,Customer update testing only
Export,EXP-0615-010,EXP-0010,REF-00010,Katy Crossdock Services,dispatch+sample10@calitrans.test,ONEU5553010,Pearland DC,"2100 Main St, Pearland, TX",2026-06-15,Hold/Need Info,Unassigned,,CH-2002,Ceres Terminal,2026-06-18,Sample Export load for 2026-06-15 - status test: Hold/Need Info.,,675,Customer update testing only
Export Local,EXL-0615-011,EXL-0011,REF-00011,Houston Industrial Supply,dispatch+sample11@calitrans.test,CAIU5553011,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-15,Awaiting Appointment,Victor Reza,CT-101,CH-2003,Barbours Cut,2026-06-17,Sample Export Local load for 2026-06-15 - status test: Awaiting Appointment.,,700,Customer update testing only
Import Local,IML-0615-012,IML-0012,REF-00012,Andes Coffee Trading,dispatch+sample12@calitrans.test,TGHU5553012,Katy Crossdock,"550 Logistics Pkwy, Katy, TX",2026-06-15,POD Received,Miguel Torres,CT-102,CH-2004,Bayport Terminal,2026-06-15,Sample Import Local load for 2026-06-15 - status test: POD Received.,Sample billing note,725,Customer update testing only
Import,IMP-0615-013,IMP-0013,REF-00013,Panama Auto Parts,dispatch+sample13@calitrans.test,MSCU5553013,North Houston Warehouse,"900 Greens Rd, Houston, TX",2026-06-15,Ready for ProfitTools,Carlos Ramirez,CT-103,CH-2005,Port Houston Gate 3,2026-06-16,Sample Import load for 2026-06-15 - status test: Ready for ProfitTools.,Sample billing note,750,Customer update testing only
Export,EXP-0615-014,EXP-0014,REF-00014,Colombia Fresh Imports,dispatch+sample14@calitrans.test,,Pasadena Storage Yard,"3300 Red Bluff Rd, Pasadena, TX",2026-06-15,Ready to Dispatch,Juan Martinez,CT-104,CH-2006,Jacintoport,2026-06-14,Sample Export load for 2026-06-15 - status test: Ready to Dispatch.,,775,Customer update testing only
Export Local,EXL-0615-015,EXL-0015,REF-00015,Bogota Textiles LLC,dispatch+sample15@calitrans.test,HLCU5553015,Pearland DC,"2100 Main St, Pearland, TX",2026-06-15,Assigned,Luis Garcia,CT-105,,Ceres Terminal,,Sample Export Local load for 2026-06-15 - status test: Assigned.,,800,Customer update testing only
Import Local,IML-0615-016,IML-0016,REF-00016,Gulf Coast Foods,dispatch+sample16@calitrans.test,ONEU5553016,Baytown Distribution Center,"1200 Dockside Dr, Baytown, TX",2026-06-15,En Route to Pickup,Ana Lopez,CT-106,CH-2008,Barbours Cut,2026-06-18,Sample Import Local load for 2026-06-15 - status test: En Route to Pickup.,,825,Customer update testing only
