type,load_id,booking_number,reference_number,container_number,customer,port,warehouse,address,document_cutoff,delivery_need_date,load_date,lfd,status,driver_name,truck_assigned,chassis,size,billing_notes,dispatcher_notes,ready_for_profittools,rate,steamship_line,vessel_name,terminal,pickup_appointment,delivery_appointment,empty_return_location,empty_return_date,chassis_provider,pickup_reference,delivery_reference,invoice_status,driver_pay_status,customer_rate,carrier_pay,accessorials,margin
Import,CLT-2026-0001,IMP-2026-0001,REF-000001,ONEU555001,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-14,2026-06-15,2026-06-13,2026-06-14,New,,,,20,,Sample load for Supabase/TMS testing.,false,700.00,Maersk,GULF TRADER,Bayport Terminal,2026-06-13 08:00:00,2026-06-15 09:00:00,Bayport Empty Yard,2026-06-16,DCLI,PU-00001,DL-00001,Paid,Pending,700.00,418.11,175.00,456.89
Export,CLT-2026-0002,EXP-2026-0002,REF-000002,TGHU555002,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-13,2026-06-15,2026-06-13,2026-06-14,Hold/Need Info,,,,40,,Sample load for Supabase/TMS testing.,false,775.00,MSC,TEXAS STAR,Barbours Cut,2026-06-13 07:00:00,2026-06-15 09:00:00,,,TRAC,PU-00002,DL-00002,Paid,Pending,775.00,427.08,0.00,347.92
Import Local,CLT-2026-0003,IML-2026-0003,REF-000003,IML555003,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-12,2026-06-15,2026-06-13,2026-06-16,Awaiting Appointment,,,,40HC,,Sample load for Supabase/TMS testing.,false,775.00,,,,2026-06-13 13:00:00,2026-06-15 11:00:00,,,,PU-00003,DL-00003,Not Ready,Pending,775.00,418.38,0.00,356.62
Export Local,CLT-2026-0004,EXL-2026-0004,REF-000004,REF555004,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-13,2026-06-15,2026-06-13,,Ready to Dispatch,,,,40ST,,Sample load for Supabase/TMS testing.,false,775.00,,,,2026-06-13 09:00:00,2026-06-15 09:00:00,,,,PU-00004,DL-00004,Not Ready,Pending,775.00,497.12,0.00,277.88
Import,CLT-2026-0005,IMP-2026-0005,REF-000005,ONEU555005,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-14,2026-06-15,2026-06-14,2026-06-16,Assigned,Luis Garcia,CT-105,CH-2005,20FR,,Sample load for Supabase/TMS testing.,false,550.00,CMA CGM,HOUSTON BRIDGE,Turning Basin,2026-06-14 13:00:00,2026-06-15 10:00:00,Bayport Empty Yard,2026-06-16,Private Chassis,PU-00005,DL-00005,Not Ready,Approved,550.00,327.77,125.00,347.23
Export,CLT-2026-0006,EXP-2026-0006,REF-000006,FCIU555006,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-12,2026-06-15,2026-06-15,2026-06-16,En Route to Pickup,Rafael Gomez,CT-106,CH-2006,40FR,,Sample load for Supabase/TMS testing.,false,775.00,Evergreen,GULF TRADER,Bayport Terminal,2026-06-15 09:00:00,2026-06-15 13:00:00,,,DCLI,PU-00006,DL-00006,Ready,Approved,775.00,457.96,0.00,317.04
Import Local,CLT-2026-0007,IML-2026-0007,REF-000007,,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-14,2026-06-15,2026-06-15,,At Pickup,Diego Moreno,CT-107,CH-2007,20,,Sample load for Supabase/TMS testing.,false,1200.00,,,,2026-06-15 10:00:00,2026-06-15 10:00:00,,,,PU-00007,DL-00007,Ready,Approved,1200.00,692.56,0.00,507.44
Export Local,CLT-2026-0008,EXL-2026-0008,REF-000008,EXL555008,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-14,2026-06-15,2026-06-14,,Loaded,Oscar Silva,CT-108,CH-2008,40,,Sample load for Supabase/TMS testing.,false,625.00,,,,2026-06-14 09:00:00,2026-06-15 15:00:00,,,,PU-00008,DL-00008,Paid,Paid,625.00,357.39,0.00,267.61
Import,CLT-2026-0009,IMP-2026-0009,REF-000009,HLXU555009,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-14,2026-06-15,2026-06-15,2026-06-17,En Route To Delivery,Andre Johnson,CT-109,CH-2001,40HC,,Sample load for Supabase/TMS testing.,false,1350.00,MSC,BAYPORT EXPRESS,Ceres Terminal,2026-06-15 09:00:00,2026-06-15 15:00:00,Bayport Empty Yard,2026-06-16,COCP,PU-00009,DL-00009,Not Ready,Pending,1350.00,666.80,0.00,683.20
Export,CLT-2026-0010,EXP-2026-0010,REF-000010,TRHU555010,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-13,2026-06-15,2026-06-15,2026-06-17,Delivered,Sam Patel,CT-110,CH-2002,40ST,POD needed before billing.,Sample load for Supabase/TMS testing.,false,925.00,Hapag-Lloyd,HOUSTON BRIDGE,Turning Basin,2026-06-15 07:00:00,2026-06-15 09:00:00,,,Private Chassis,PU-00010,DL-00010,Invoiced,Paid,925.00,455.59,75.00,544.41
